source_id,act,claim_family,source_kind,short_title,title,creator,date_label,year,publication_context,repository,repository_url,persistent_id,edition_state,locator,rights_status,rights_basis_url,verification_state,review_status,role_in_essay,notes
ant-src-bulkeley-bellingshausen,act_v,discovery_priority,scholarly_monograph,"Bulkeley, Bellingshausen","Bellingshausen and the Russian Antarctic Expedition, 1819-21",Rip Bulkeley,2014,2014,Palgrave Macmillan,,https://link.springer.com/,,First edition,pending,in_copyright,https://link.springer.com/,unverified,candidate,The control on every priority statement the essay makes about 1820.,"Act V's most important secondary source, because the priority question is where this essay is most likely to repeat a national myth by accident."
ant-src-debenham-bellingshausen,act_v,discovery_priority,critical_edition,"Debenham, Voyage of Bellingshausen","The Voyage of Captain Bellingshausen to the Antarctic Seas, 1819-1821",Frank Debenham (ed.),1945,1945,"London: Hakluyt Society, two volumes",,https://www.hakluyt.com/,,"Hakluyt Society, Second Series 91-92",pending,in_copyright,https://www.hakluyt.com/,unverified,candidate,The English text through which the essay would read Bellingshausen's sightings.,"A translation is an interpretation. If Act V rests a priority claim on wording, the Russian text has to be consulted or the dependence on Debenham declared."
ant-src-weddell-voyage-1825,act_v,nineteenth_century_survey,expedition_narrative,"Weddell, Voyage towards the South Pole","A Voyage towards the South Pole, performed in the years 1822-24",James Weddell,1825,1825,"London: Longman, Hurst, Rees, Orme, Brown and Green",,https://www.rmg.co.uk/,,"First edition, 1825",pending,public_domain_text,https://www.rmg.co.uk/,unverified,candidate,"The open-water penetration of the sea later named for him, and a case where one season's ice is mistaken for a permanent condition.",Also a ghost-geography source: Weddell's reported islands need checking against later disproof.
ant-src-ross-voyage-1847,act_v,nineteenth_century_survey,expedition_narrative,"Ross, Voyage of Discovery and Research","A Voyage of Discovery and Research in the Southern and Antarctic Regions, during the years 1839-43",James Clark Ross,1847,1847,"London: John Murray, two volumes",,https://www.rmg.co.uk/,,"First edition, 1847",pending,public_domain_text,https://www.rmg.co.uk/,unverified,candidate,"The survey that converts scattered sightings into charted coast, and the disproof of several Wilkes positions.",Ross sailing over land Wilkes had charted is the cleanest single episode joining Act V to Act VI.
ant-src-wilkes-narrative-1844,act_v,discovery_priority,expedition_narrative,"Wilkes, Narrative","Narrative of the United States Exploring Expedition, during the years 1838-1842",Charles Wilkes,1844,1844,"Philadelphia: Lea and Blanchard, five volumes and atlas",,https://www.loc.gov/,,"First edition, 1844",pending,public_domain_text,https://www.loc.gov/,unverified,candidate,"A continental claim advanced with charted coast, parts of which were later sailed through.",Wilkes must not be presented simply as wrong. Which of his positions survived and which did not is exactly the distinction Act VI is for.
ant-src-gurney-below-convergence,act_v,discovery_priority,scholarly_monograph,"Gurney, Below the Convergence","Below the Convergence: Voyages toward Antarctica, 1699-1839",Alan Gurney,1997,1997,New York: W. W. Norton,,https://wwnorton.com/,,First edition,pending,in_copyright,https://wwnorton.com/,unverified,candidate,Narrative synthesis of the sealing and exploring voyages between Cook and Ross.,Useful for sequence and context; not authoritative enough to settle a priority claim on its own.
ant-src-ramsay-no-longer-on-the-map,act_vi,ghost_geography,scholarly_monograph,"Ramsay, No Longer on the Map",No Longer on the Map: Discovering Places That Never Were,Raymond H. Ramsay,1972,1972,New York: Viking Press,,https://archive.org/,,First edition,pending,in_copyright,https://archive.org/,unverified,candidate,A general treatment of cartographic features that were later removed.,"Popular rather than scholarly. Usable for orientation, not as the authority for any individual disproof."
ant-src-johnson-phantom-islands,act_vi,ghost_geography,scholarly_monograph,"Johnson, Phantom Islands",Phantom Islands of the Atlantic,Donald S. Johnson,1994,1994,Fredericton: Goose Lane Editions,,https://gooselane.com/,,First edition,pending,in_copyright,https://gooselane.com/,unverified,candidate,Method: how a reported island survives on charts and how it is eventually removed.,"Atlantic rather than Antarctic, and cited for the pattern rather than for any southern feature."
ant-src-headland-chronology,act_vi,ghost_geography,reference_work,"Headland, Chronology","A Chronology of Antarctic Exploration: A Synopsis of Events and Activities from the Earliest Times until the International Polar Years, 2007-09",Robert K. Headland,2009,2009,London: Bernard Quaritch,,https://www.quaritch.com/,,First edition,pending,in_copyright,https://www.quaritch.com/,unverified,candidate,The dating spine for Acts V to VII and the first check on any date this programme publishes.,The single most useful reference for the chronology tables. Every date in the dataset should eventually carry a Headland entry or a reason it does not.
ant-src-shackleton-south-1919,act_vii,endurance_navigation,expedition_narrative,"Shackleton, South","South: The Story of Shackleton's Last Expedition, 1914-1917",Ernest Shackleton,1919,1919,London: William Heinemann,,https://www.gutenberg.org/,,"First edition, 1919",pending,public_domain_text,https://www.gutenberg.org/,unverified,candidate,"The expedition's own account, including the plan Act VIII contrasts with the drift.","Ghost-written in part and shaped for publication. Positions taken from it are Shackleton's published positions, not Worsley's workings."
ant-src-worsley-boat-journey,act_viii,endurance_navigation,expedition_narrative,"Worsley, Shackleton's Boat Journey",Shackleton's Boat Journey,Frank Arthur Worsley,1940,1940,London: Hodder and Stoughton,,https://www.spri.cam.ac.uk/,,"First edition, 1940",pending,in_copyright,https://www.spri.cam.ac.uk/,unverified,candidate,The navigator's own account of the James Caird passage and its observational constraints.,"Written twenty-five years after the events. Where it conflicts with the contemporary log the log wins, and the essay must say which it is using."
ant-src-worsley-endurance-1931,act_viii,endurance_navigation,expedition_narrative,"Worsley, Endurance",Endurance: An Epic of Polar Adventure,Frank Arthur Worsley,1931,1931,London: Philip Allan,,https://www.spri.cam.ac.uk/,,"First edition, 1931",pending,in_copyright,https://www.spri.cam.ac.uk/,unverified,candidate,"Worsley's fuller account of the drift year, including the ship's loss.",The reported sinking position enters the literature through accounts of this kind; the coordinate's provenance is exactly what the Coda is about.
ant-src-alexander-endurance,act_viii,endurance_navigation,scholarly_monograph,"Alexander, The Endurance",The Endurance: Shackleton's Legendary Antarctic Expedition,Caroline Alexander,1998,1998,"New York: Alfred A. Knopf, with the Hurley photographs",,https://www.spri.cam.ac.uk/,,First edition,pending,in_copyright,https://www.spri.cam.ac.uk/,unverified,candidate,Reliable modern narrative and the standard account of the photographic record.,Narrative context only. No position in the dataset should rest on it.
ant-src-cotter-nautical-astronomy,act_viii,coordinate_uncertainty,scholarly_monograph,"Cotter, Nautical Astronomy",A History of Nautical Astronomy,Charles H. Cotter,1968,1968,London: Hollis and Carter,,https://archive.org/,,First edition,pending,in_copyright,https://archive.org/,unverified,candidate,"What a sight, a chronometer and a dead-reckoning run could and could not deliver in 1915.",The technical basis for the Coda's uncertainty argument. Needed before any error figure is published.
ant-src-endurance22-report,coda,coordinate_uncertainty,expedition_report,Endurance22,Endurance22 expedition: discovery of the wreck of Endurance,Falklands Maritime Heritage Trust,2022,2022,Expedition announcement and associated reporting,,https://endurance22.org/,,Web publication,pending,rights_review_required,https://endurance22.org/,unverified,candidate,The 2022 location and the search that produced it.,"The expedition site returned 403 to this audit, so nothing here is transcribed from it. The Coda's comparison of the 1915 and 2022 positions is unsupported until a citable published position and its uncertainty are read."
ant-src-hsm-93,coda,coordinate_uncertainty,catalogue_record,Antarctic Treaty HSM 93,Historic Site and Monument No. 93: Wreck of Endurance,Antarctic Treaty Consultative Meeting,2022,2022,"Antarctic Treaty Secretariat, HSM database",Antarctic Treaty Secretariat,https://www.ats.aq/,https://www.ats.aq/devph/en/apa-database/187,Database entry,pending,rights_review_required,https://www.ats.aq/,unverified,candidate,The designated coordinates as an official record rather than a news figure.,The preferred authority for the wreck position because it is a treaty instrument. The entry could not be retrieved during this audit and is logged as a gap.
ant-src-gregory-ell-historical-gis,cross_cutting,methodology,scholarly_monograph,"Gregory and Ell, Historical GIS","Historical GIS: Technologies, Methodologies and Scholarship",Ian N. Gregory and Paul S. Ell,2007,2007,Cambridge University Press,,https://www.cambridge.org/,,First edition,pending,in_copyright,https://www.cambridge.org/,unverified,candidate,Method reference for representing incomplete and uncertain historical geography.,Cited for the data model rather than for Antarctica.
ant-src-knowles-placing-history,cross_cutting,methodology,scholarly_monograph,"Knowles, Placing History","Placing History: How Maps, Spatial Data, and GIS Are Changing Historical Scholarship",Anne Kelly Knowles (ed.),2008,2008,Redlands: ESRI Press,,https://www.esri.com/,,First edition,pending,in_copyright,https://www.esri.com/,unverified,candidate,Precedent for presenting uncertainty as a finding rather than as a defect.,Supports the Ghost Geographies presentation pattern that ANT-7 is meant to generalise.
ant-src-rmg-ice-chart-1910,act_vii,cumulative_synthesis,catalogue_record,"RMG record, 1910 ice chart","Royal Museums Greenwich collections record for the southern hemisphere ice chart, G288:1/2(2)",Royal Museums Greenwich,accessed 2026-08-23,2026,Museum collections catalogue,"National Maritime Museum, Greenwich, London",https://www.rmg.co.uk/,https://www.rmg.co.uk/collections/objects/rmgc-object-540947,Online catalogue record,"Catalogue record rmgc-object-540947, fields title, object ID, creator, date, scale, credit line",rights_review_required,https://www.rmg.co.uk/collections/objects/rmgc-object-540947,verified,source_checked,The evidence for what the 1910 chart compiles and for its Crown copyright credit line.,"A catalogue record is a source in its own right and is recorded as one, because it is the only thing about this object that has actually been read. It is not a substitute for the sheet."
ant-src-rmg-cook-chart-1777,act_iv,cook_absence,catalogue_record,"RMG record, 1777 Cook chart","Royal Museums Greenwich collections record for the 1777 southern hemisphere chart, PAI4123",Royal Museums Greenwich,accessed 2026-08-23,2026,Museum collections catalogue,"National Maritime Museum, Greenwich, London",https://www.rmg.co.uk/,https://www.rmg.co.uk/collections/objects/rmgc-object-154063,Online catalogue record,"Catalogue record rmgc-object-154063, fields title, accession number, engraver, date, medium, dimensions",rights_review_required,https://www.rmg.co.uk/collections/objects/rmgc-object-154063,verified,source_checked,"Establishes the chart's engraver, date and publication context, and that no reuse licence is stated.","Read during the ANT-1 audit. The record names Whitchurch as engraver, which the essay should not silently replace with Cook's name."
ant-src-bergman-stuart-location,act_viii,endurance_navigation,journal_article,"Bergman and Stuart, Location of Endurance",On the Location of Shackleton's Vessel Endurance,Lars Bergman and Robin G. Stuart,September 2018,2018,"The Journal of Navigation, Cambridge University Press",,https://www.cambridge.org/,https://www.cambridge.org/core/journals/journal-of-navigation/article/abs/on-the-location-of-shackletons-vessel-endurance/5F1AD80B3445C2653F1C24EAD4B7460D,Journal article,pending,in_copyright,https://www.cambridge.org/,partially_verified,candidate,"The reviewed recomputation of Worsley's observations, and the source the sinking position must be cited from.","The abstract was located during the ANT-9 audit; the article has not been read. It reanalyses Worsley's theodolite and sextant observations from his logbook and reports a sinking position of 68 degrees 39 minutes 30 seconds south, 52 degrees 26 minutes 30 seconds west. This supersedes citing a published narrative for that coordinate, and it means the logbook is reachable through the literature rather than only through an archive visit."
ant-src-bergman-chronometer,coda,coordinate_uncertainty,journal_article,"Bergman, Mearns and Stuart, Chronometer error","Influence of chronometer error uncertainties on the Longitude of Shackleton's vessel, Endurance","Lars Bergman, David L. Mearns and Robin G. Stuart",undated,2021,"The Journal of Navigation, Cambridge University Press",,https://www.cambridge.org/,https://www.cambridge.org/core/journals/journal-of-navigation/article/abs/influence-of-chronometer-error-uncertainties-on-the-longitude-of-shackletons-vessel-endurance/9A0C79B045AEC8F65005DC5CB04C0AC3,Journal article,pending,in_copyright,https://www.cambridge.org/,partially_verified,candidate,The uncertainty half of the Coda: what a chronometer error does to a longitude.,"Located by search, not read. The year is recorded as an estimate and must be corrected when the article is opened. No uncertainty figure may be published from this project until it is."
ant-src-polar-record-why-sink,act_viii,endurance_navigation,journal_article,Why did Endurance sink?,Why did Endurance sink?,Not recorded,2025,2025,"Polar Record, volume 61, Cambridge University Press",,https://www.cambridge.org/,https://www.cambridge.org/core/journals/polar-record/article/why-did-endurance-sink/6CC2C2D56087035A94DEB50930B81980,Journal article,pending,in_copyright,https://www.cambridge.org/,unverified,candidate,"Recent scholarship on the loss itself, held in case Act VIII needs it.",Located by search; authors not recorded because the listing did not give them. Peripheral to the navigation argument and included so the act does not overlook current work.
ant-src-rmg-ice-chart-1874,act_vii,cumulative_synthesis,catalogue_record,"RMG record, 1874 ice chart","Royal Museums Greenwich collections record for the 1874 southern hemisphere ice chart, NTY288:1/2(1)",Royal Museums Greenwich,accessed 2026-08-23,2026,Museum collections catalogue,"National Maritime Museum, Greenwich, London",https://www.rmg.co.uk/,https://www.rmg.co.uk/collections/objects/rmgc-object-555864,Online catalogue record,"Catalogue record rmgc-object-555864, fields title, object ID, creators, dates, scale, dimensions, credit line",rights_review_required,https://www.rmg.co.uk/collections/objects/rmgc-object-555864,verified,source_checked,"The evidence that the cumulative chart was revised, and the voyage list it carried before Scott and Shackleton.",Read during the ANT-8 audit. The 1874 title lists Cook through Ross and adds Towson's papers on icebergs 1855-59; the 1910 sheet adds Scott 1901-4 and Shackleton 1908-9. Two catalogue titles are therefore enough to show a synthesis being revised rather than merely accumulating.
ant-src-rmg-cook-chart-g201,act_iv,cook_absence,catalogue_record,"RMG record, Cook chart G201:3/3","Royal Museums Greenwich collections record for the 1777 southern hemisphere chart, G201:3/3",Royal Museums Greenwich,accessed 2026-08-23,2026,Museum collections catalogue,"National Maritime Museum, Greenwich, London",https://www.rmg.co.uk/,https://www.rmg.co.uk/collections/objects/rmgc-object-543571,Online catalogue record,"Catalogue record rmgc-object-543571, fields title, object ID, creators, date, dimensions, credit line",rights_review_required,https://www.rmg.co.uk/collections/objects/rmgc-object-543571,verified,source_checked,"The second Greenwich impression of the 1777 chart, and the attribution the other record does not carry.","Read during the ANT-5 audit. This record names Johann George Forster alongside Whitchurch, which PAI4123 does not, and gives different measurements. Two impressions of one plate, catalogued differently, which is why the essay has to name the copy it reproduces."
ant-src-loc-wilkes-atlas,act_v,discovery_priority,catalogue_record,"LoC record, US Exploring Expedition atlas",Library of Congress record for the Atlas of the Narrative of the United States Exploring Expedition,"Library of Congress, Geography and Map Division",accessed 2026-08-23,2026,"Atlas published Philadelphia: C. Sherman, 1844; digitised copy 3 at shelf g9230m.gct00224",Library of Congress,https://www.loc.gov/,https://www.loc.gov/item/2010589747/,Online catalogue record,pending,no_known_restrictions,https://www.loc.gov/,partially_verified,candidate,Locates the Wilkes atlas and its map of the Antarctic continent in a named holding with a digitised copy.,"Found by search; the item record itself was not opened. The atlas is reported to contain a map of the Antarctic continent, but the sheet number and the disputed positions on it are still unidentified."
ant-src-durville-voyage,act_v,nineteenth_century_survey,expedition_narrative,"Dumont d'Urville, Voyage au Pole Sud",Voyage au Pole Sud et dans l'Oceanie sur les corvettes l'Astrolabe et la Zelee,Jules Sebastien Cesar Dumont d'Urville,1841-1854,1841,Paris: Gide; narrative volumes with an accompanying atlas,,https://gallica.bnf.fr/,,Not identified,pending,public_domain_text,https://gallica.bnf.fr/,unverified,candidate,"The French contribution to the 1840 season, and a third national account of the same weeks of coast.",Gallica is the likely route to a digitised copy. Neither the volume structure nor the atlas plates have been checked.
ant-src-mill-siege-south-pole,act_vii,cumulative_synthesis,scholarly_monograph,"Mill, The Siege of the South Pole",The Siege of the South Pole: The Story of Antarctic Exploration,Hugh Robert Mill,1905,1905,London: Alston Rivers,,https://archive.org/,,"First edition, 1905",pending,public_domain_text,https://archive.org/,unverified,candidate,"A synthesis of Antarctic knowledge written on the eve of the Heroic Age, and a textual counterpart to the cumulative chart.","Useful precisely because of its date: it shows what a well-informed reader could know in 1905, which is the state the 1910 chart then revises."
ant-src-scott-voyage-discovery,act_vii,cumulative_synthesis,expedition_narrative,"Scott, The Voyage of the Discovery",The Voyage of the Discovery,Robert Falcon Scott,1905,1905,"London: Smith, Elder and Co., two volumes",,https://archive.org/,,"First edition, 1905",pending,public_domain_text,https://archive.org/,unverified,candidate,One of the two voyages the 1910 chart adds to the 1874 compilation.,Selected for cartographic contribution rather than fame: the Discovery survey is one of the two additions that distinguish the 1910 sheet from its predecessor.
ant-src-shackleton-heart-antarctic,act_vii,cumulative_synthesis,expedition_narrative,"Shackleton, The Heart of the Antarctic",The Heart of the Antarctic,Ernest Shackleton,1909,1909,"London: William Heinemann, two volumes",,https://archive.org/,,"First edition, 1909",pending,public_domain_text,https://archive.org/,unverified,candidate,"The other voyage the 1910 chart adds, and the immediate predecessor of the Endurance plan.","The Nimrod expedition of 1908-9, dated on the 1910 chart's own title."
ant-src-mawson-home-blizzard,act_vii,cumulative_synthesis,expedition_narrative,"Mawson, The Home of the Blizzard",The Home of the Blizzard,Douglas Mawson,1915,1915,"London: William Heinemann, two volumes",,https://archive.org/,,"First edition, 1915",pending,public_domain_text,https://archive.org/,unverified,candidate,Held as a candidate for Act VII on cartographic grounds; the coast charted by the Australasian expedition postdates the 1910 sheet.,"Included conditionally. If the act cannot show what his survey added to the map, he should be cut rather than kept for fame."
